Timestamp,Millis,Myo0,Myo1,Myo2,Myo3
Fri Nov 22 19:30:02 2024,600,764.000,190.000,239.000,802.000
Fri Nov 22 19:30:02 2024,605,757.200,187.840,255.480,777.640
Fri Nov 22 19:30:02 2024,610,756.200,187.640,261.080,778.440
Fri Nov 22 19:30:02 2024,615,755.200,187.440,266.680,779.240
Fri Nov 22 19:30:02 2024,620,754.200,187.240,272.280,780.040
Fri Nov 22 19:30:02 2024,625,753.200,187.040,277.880,780.840
Fri Nov 22 19:30:02 2024,630,705.643,171.500,229.357,680.000
Fri Nov 22 19:30:02 2024,635,699.750,172.750,230.250,680.000
Fri Nov 22 19:30:02 2024,640,693.857,174.000,231.143,680.000
Fri Nov 22 19:30:02 2024,645,687.964,175.250,232.036,680.000
Fri Nov 22 19:30:02 2024,650,682.071,176.500,232.929,680.000
Fri Nov 22 19:30:02 2024,655,676.179,177.750,233.821,680.000
Fri Nov 22 19:30:02 2024,660,630.000,184.000,230.000,630.000
Fri Nov 22 19:30:02 2024,665,630.192,182.077,231.154,631.538
Fri Nov 22 19:30:02 2024,670,630.385,180.154,232.308,633.077
Fri Nov 22 19:30:02 2024,675,630.577,178.231,233.462,634.615
Fri Nov 22 19:30:02 2024,680,630.769,176.308,234.615,636.154
Fri Nov 22 19:30:02 2024,685,630.962,174.385,235.769,637.692
Fri Nov 22 19:30:02 2024,690,629.034,168.310,223.690,662.690
Fri Nov 22 19:30:02 2024,695,630.759,168.828,223.172,662.172
Fri Nov 22 19:30:02 2024,700,632.483,169.345,222.655,661.655
Fri Nov 22 19:30:02 2024,705,634.207,169.862,222.138,661.138
Fri Nov 22 19:30:02 2024,710,635.931,170.379,221.621,660.621
Fri Nov 22 19:30:02 2024,715,637.655,170.897,221.103,660.103
Fri Nov 22 19:30:02 2024,720,622.370,169.556,191.111,648.852
Fri Nov 22 19:30:02 2024,725,624.222,167.333,191.667,648.111
Fri Nov 22 19:30:02 2024,730,626.074,165.111,192.222,647.370
Fri Nov 22 19:30:02 2024,735,627.926,162.889,192.778,646.630
Fri Nov 22 19:30:02 2024,740,629.778,160.667,193.333,645.889
Fri Nov 22 19:30:02 2024,745,631.630,158.444,193.889,645.148
Fri Nov 22 19:30:02 2024,750,643.852,165.407,210.074,724.074
Fri Nov 22 19:30:02 2024,755,648.111,167.444,210.444,724.444
Fri Nov 22 19:30:02 2024,760,652.370,169.481,210.815,724.815
Fri Nov 22 19:30:02 2024,765,656.630,171.519,211.185,725.185
Fri Nov 22 19:30:02 2024,770,660.889,173.556,211.556,725.556
Fri Nov 22 19:30:02 2024,775,665.148,175.593,211.926,725.926
Fri Nov 22 19:30:02 2024,780,726.643,189.429,237.786,783.071
Fri Nov 22 19:30:02 2024,785,725.750,188.000,237.250,780.750
Fri Nov 22 19:30:02 2024,790,724.857,186.571,236.714,778.429
Fri Nov 22 19:30:02 2024,795,723.964,185.143,236.179,776.107
Fri Nov 22 19:30:02 2024,800,723.071,183.714,235.643,773.786
Fri Nov 22 19:30:02 2024,805,722.179,182.286,235.107,771.464
Fri Nov 22 19:30:02 2024,810,733.786,197.714,239.929,777.357
Fri Nov 22 19:30:02 2024,815,733.250,197.000,239.750,775.750
Fri Nov 22 19:30:02 2024,820,732.714,196.286,239.571,774.143
Fri Nov 22 19:30:02 2024,825,732.179,195.571,239.393,772.536
Fri Nov 22 19:30:02 2024,830,731.643,194.857,239.214,770.929
Fri Nov 22 19:30:02 2024,835,731.107,194.143,239.036,769.321
Fri Nov 22 19:30:02 2024,840,718.643,189.929,249.857,747.786
Fri Nov 22 19:30:02 2024,845,720.250,187.250,252.000,752.250
Fri Nov 22 19:30:02 2024,850,721.857,184.571,254.143,756.714
Fri Nov 22 19:30:02 2024,855,723.464,181.893,256.286,761.179
Fri Nov 22 19:30:02 2024,860,725.071,179.214,258.429,765.643
Fri Nov 22 19:30:02 2024,865,726.679,176.536,260.571,770.107
Fri Nov 22 19:30:02 2024,870,691.710,197.097,273.290,756.581
