Timestamp,Millis,Myo0,Myo1,Myo2,Myo3
Fri Nov 22 20:53:18 2024,943,662,60,142,491
Fri Nov 22 20:53:18 2024,944,683,64,139,503
Fri Nov 22 20:53:18 2024,944,678,58,149,527
Fri Nov 22 20:53:18 2024,945,680,61,149,525
Fri Nov 22 20:53:18 2024,945,686,59,158,523
Fri Nov 22 20:53:18 2024,945,679,54,161,540
Fri Nov 22 20:53:18 2024,972,676,60,154,551
Fri Nov 22 20:53:18 2024,973,679,65,171,543
Fri Nov 22 20:53:18 2024,974,673,60,181,554
Fri Nov 22 20:53:19 2024,3,669,61,176,558
Fri Nov 22 20:53:19 2024,4,698,65,176,564
Fri Nov 22 20:53:19 2024,4,711,60,187,586
Fri Nov 22 20:53:19 2024,63,702,68,182,584
Fri Nov 22 20:53:19 2024,64,702,61,180,605
Fri Nov 22 20:53:19 2024,64,695,63,197,618
Fri Nov 22 20:53:19 2024,93,703,66,197,600
Fri Nov 22 20:53:19 2024,94,700,62,197,609
Fri Nov 22 20:53:19 2024,94,695,55,184,619
Fri Nov 22 20:53:19 2024,123,685,62,184,613
Fri Nov 22 20:53:19 2024,124,661,60,192,601
Fri Nov 22 20:53:19 2024,124,661,62,196,577
Fri Nov 22 20:53:19 2024,124,629,60,197,587
Fri Nov 22 20:53:19 2024,126,545,58,187,563
Fri Nov 22 20:53:19 2024,126,530,83,178,561
Fri Nov 22 20:53:19 2024,127,535,59,163,562
Fri Nov 22 20:53:19 2024,127,572,64,162,562
Fri Nov 22 20:53:19 2024,127,608,57,180,558
Fri Nov 22 20:53:19 2024,127,616,53,184,549
Fri Nov 22 20:53:19 2024,153,652,65,190,537
Fri Nov 22 20:53:19 2024,154,652,63,192,537
Fri Nov 22 20:53:19 2024,154,658,55,182,552
Fri Nov 22 20:53:19 2024,183,656,65,181,562
Fri Nov 22 20:53:19 2024,184,645,52,171,550
Fri Nov 22 20:53:19 2024,184,634,57,171,555
Fri Nov 22 20:53:19 2024,213,636,61,179,553
Fri Nov 22 20:53:19 2024,214,652,56,170,557
Fri Nov 22 20:53:19 2024,215,646,61,166,564
Fri Nov 22 20:53:19 2024,243,633,56,163,553
Fri Nov 22 20:53:19 2024,244,633,60,158,548
Fri Nov 22 20:53:19 2024,244,632,61,146,518
Fri Nov 22 20:53:19 2024,273,624,58,149,518
Fri Nov 22 20:53:19 2024,274,619,53,150,515
Fri Nov 22 20:53:19 2024,274,624,55,152,519
