Timestamp,Millis,Myo0,Myo1,Myo2,Myo3
Fri Nov 22 20:48:10 2024,836,703,69,202,588
Fri Nov 22 20:48:10 2024,837,697,67,198,603
Fri Nov 22 20:48:10 2024,866,688,62,195,610
Fri Nov 22 20:48:10 2024,867,680,70,207,603
Fri Nov 22 20:48:10 2024,868,689,75,192,604
Fri Nov 22 20:48:10 2024,868,690,72,201,603
Fri Nov 22 20:48:10 2024,868,701,65,210,600
Fri Nov 22 20:48:10 2024,869,706,76,199,598
Fri Nov 22 20:48:10 2024,869,717,78,208,594
Fri Nov 22 20:48:10 2024,869,707,71,211,597
Fri Nov 22 20:48:10 2024,870,706,66,214,604
Fri Nov 22 20:48:10 2024,870,700,75,204,608
Fri Nov 22 20:48:10 2024,897,723,76,210,596
Fri Nov 22 20:48:10 2024,898,717,68,205,610
Fri Nov 22 20:48:10 2024,898,738,69,208,607
Fri Nov 22 20:48:10 2024,899,728,73,203,624
Fri Nov 22 20:48:10 2024,899,731,73,206,617
Fri Nov 22 20:48:10 2024,899,732,71,207,594
Fri Nov 22 20:48:10 2024,925,742,71,196,607
Fri Nov 22 20:48:10 2024,926,727,73,193,606
Fri Nov 22 20:48:10 2024,927,720,71,194,605
Fri Nov 22 20:48:10 2024,956,711,70,189,600
Fri Nov 22 20:48:10 2024,957,719,70,187,595
Fri Nov 22 20:48:10 2024,957,726,69,182,590
Fri Nov 22 20:48:10 2024,957,738,73,177,595
Fri Nov 22 20:48:10 2024,957,730,70,190,599
Fri Nov 22 20:48:10 2024,958,729,68,183,593
Fri Nov 22 20:48:10 2024,960,739,63,187,616
Fri Nov 22 20:48:10 2024,960,744,67,185,612
Fri Nov 22 20:48:10 2024,987,741,65,183,596
Fri Nov 22 20:48:10 2024,988,742,67,179,592
Fri Nov 22 20:48:10 2024,989,743,69,184,577
Fri Nov 22 20:48:11 2024,14,749,71,183,591
Fri Nov 22 20:48:11 2024,15,733,61,178,577
Fri Nov 22 20:48:11 2024,16,728,68,181,590
Fri Nov 22 20:48:11 2024,47,737,67,181,567
Fri Nov 22 20:48:11 2024,48,721,68,188,574
Fri Nov 22 20:48:11 2024,48,737,73,187,567
Fri Nov 22 20:48:11 2024,76,735,61,187,564
Fri Nov 22 20:48:11 2024,77,724,67,181,577
Fri Nov 22 20:48:11 2024,77,727,72,188,584
Fri Nov 22 20:48:11 2024,107,742,64,194,582
Fri Nov 22 20:48:11 2024,107,743,65,188,558
Fri Nov 22 20:48:11 2024,107,721,66,194,559
Fri Nov 22 20:48:11 2024,108,715,58,192,561
Fri Nov 22 20:48:11 2024,108,664,70,197,570
Fri Nov 22 20:48:11 2024,108,659,64,196,564
Fri Nov 22 20:48:11 2024,110,647,63,191,551
Fri Nov 22 20:48:11 2024,136,613,65,224,537
Fri Nov 22 20:48:11 2024,137,601,70,199,534
Fri Nov 22 20:48:11 2024,137,600,63,195,531
Fri Nov 22 20:48:11 2024,138,585,60,204,517
Fri Nov 22 20:48:11 2024,138,581,61,189,504
Fri Nov 22 20:48:11 2024,138,567,62,188,513
Fri Nov 22 20:48:11 2024,139,576,63,182,516
Fri Nov 22 20:48:11 2024,139,596,63,191,515
Fri Nov 22 20:48:11 2024,139,585,68,178,512
Fri Nov 22 20:48:11 2024,141,616,64,178,487
Fri Nov 22 20:48:11 2024,165,612,62,175,489
Fri Nov 22 20:48:11 2024,166,628,86,174,494
Fri Nov 22 20:48:11 2024,166,627,58,173,493
Fri Nov 22 20:48:11 2024,196,614,68,173,509
Fri Nov 22 20:48:11 2024,197,631,64,187,510
Fri Nov 22 20:48:11 2024,198,650,59,180,509
Fri Nov 22 20:48:11 2024,256,677,71,200,517
Fri Nov 22 20:48:11 2024,256,683,69,188,519
Fri Nov 22 20:48:11 2024,256,692,61,177,517
Fri Nov 22 20:48:11 2024,286,700,60,179,536
Fri Nov 22 20:48:11 2024,286,686,72,175,540
Fri Nov 22 20:48:11 2024,287,686,64,184,549
Fri Nov 22 20:48:11 2024,315,673,63,174,549
Fri Nov 22 20:48:11 2024,315,696,65,165,548
Fri Nov 22 20:48:11 2024,316,706,67,169,515
Fri Nov 22 20:48:11 2024,346,693,66,167,501
Fri Nov 22 20:48:11 2024,346,766,66,158,509
Fri Nov 22 20:48:11 2024,347,788,67,156,520
Fri Nov 22 20:48:11 2024,376,797,66,160,544
Fri Nov 22 20:48:11 2024,376,741,70,187,543
Fri Nov 22 20:48:11 2024,376,760,61,183,551
Fri Nov 22 20:48:11 2024,406,752,74,183,553
Fri Nov 22 20:48:11 2024,406,714,72,185,543
Fri Nov 22 20:48:11 2024,407,715,66,188,521
Fri Nov 22 20:48:11 2024,407,732,68,187,536
Fri Nov 22 20:48:11 2024,408,743,72,169,592
Fri Nov 22 20:48:11 2024,408,723,72,192,545
Fri Nov 22 20:48:11 2024,409,733,68,200,562
Fri Nov 22 20:48:11 2024,409,679,69,174,519
Fri Nov 22 20:48:11 2024,410,676,68,170,501
Fri Nov 22 20:48:11 2024,410,669,65,177,462
Fri Nov 22 20:48:11 2024,436,693,59,168,422
Fri Nov 22 20:48:11 2024,436,695,66,172,395
Fri Nov 22 20:48:11 2024,437,690,66,163,405
Fri Nov 22 20:48:11 2024,466,688,58,173,420
Fri Nov 22 20:48:11 2024,466,689,64,173,422
Fri Nov 22 20:48:11 2024,466,680,57,184,432
Fri Nov 22 20:48:11 2024,467,664,60,176,445
Fri Nov 22 20:48:11 2024,467,646,56,174,460
Fri Nov 22 20:48:11 2024,467,629,61,165,461
Fri Nov 22 20:48:11 2024,468,635,61,171,469
Fri Nov 22 20:48:11 2024,469,621,55,169,491
Fri Nov 22 20:48:11 2024,470,625,68,156,482
Fri Nov 22 20:48:11 2024,470,616,66,152,472
Fri Nov 22 20:48:11 2024,497,602,58,141,466
Fri Nov 22 20:48:11 2024,498,606,59,158,453
Fri Nov 22 20:48:11 2024,498,629,63,164,468
Fri Nov 22 20:48:11 2024,524,664,63,159,499
Fri Nov 22 20:48:11 2024,525,684,63,175,505
Fri Nov 22 20:48:11 2024,527,682,65,179,512
Fri Nov 22 20:48:11 2024,556,730,64,184,529
Fri Nov 22 20:48:11 2024,556,747,67,192,536
Fri Nov 22 20:48:11 2024,557,752,59,190,527
Fri Nov 22 20:48:11 2024,586,750,63,193,536
Fri Nov 22 20:48:11 2024,586,765,65,199,558
Fri Nov 22 20:48:11 2024,586,758,70,210,559
Fri Nov 22 20:48:11 2024,615,772,60,208,555
Fri Nov 22 20:48:11 2024,616,776,67,194,561
Fri Nov 22 20:48:11 2024,616,789,65,204,544
Fri Nov 22 20:48:11 2024,645,783,66,207,559
Fri Nov 22 20:48:11 2024,646,789,74,205,561
Fri Nov 22 20:48:11 2024,646,770,62,207,563
Fri Nov 22 20:48:11 2024,675,794,70,201,561
Fri Nov 22 20:48:11 2024,677,793,73,175,560
Fri Nov 22 20:48:11 2024,677,808,84,182,554
Fri Nov 22 20:48:11 2024,678,810,69,178,556
Fri Nov 22 20:48:11 2024,678,811,64,177,523
Fri Nov 22 20:48:11 2024,678,812,67,167,507
Fri Nov 22 20:48:11 2024,678,803,64,159,497
Fri Nov 22 20:48:11 2024,679,725,60,160,461
Fri Nov 22 20:48:11 2024,679,715,58,163,455
Fri Nov 22 20:48:11 2024,680,705,63,155,465
Fri Nov 22 20:48:11 2024,706,698,68,150,471
Fri Nov 22 20:48:11 2024,706,688,67,150,461
Fri Nov 22 20:48:11 2024,707,678,62,150,471
Fri Nov 22 20:48:11 2024,736,661,67,151,473
Fri Nov 22 20:48:11 2024,736,659,63,155,475
Fri Nov 22 20:48:11 2024,737,647,66,160,480
Fri Nov 22 20:48:11 2024,766,646,53,153,482
Fri Nov 22 20:48:11 2024,766,631,66,179,482
Fri Nov 22 20:48:11 2024,766,634,58,156,476
Fri Nov 22 20:48:11 2024,796,640,55,153,481
Fri Nov 22 20:48:11 2024,796,645,67,156,480
Fri Nov 22 20:48:11 2024,797,647,55,152,489
Fri Nov 22 20:48:11 2024,826,664,62,154,476
Fri Nov 22 20:48:11 2024,826,659,67,152,485
Fri Nov 22 20:48:11 2024,827,663,64,162,486
Fri Nov 22 20:48:11 2024,827,657,63,168,482
Fri Nov 22 20:48:11 2024,828,657,64,155,487
Fri Nov 22 20:48:11 2024,829,658,54,152,467
Fri Nov 22 20:48:11 2024,830,657,65,151,473
Fri Nov 22 20:48:11 2024,856,631,65,149,390
Fri Nov 22 20:48:11 2024,856,648,55,150,409
Fri Nov 22 20:48:11 2024,857,654,65,146,376
Fri Nov 22 20:48:11 2024,885,654,68,139,391
Fri Nov 22 20:48:11 2024,886,626,63,136,376
Fri Nov 22 20:48:11 2024,886,633,57,140,372
Fri Nov 22 20:48:11 2024,887,628,74,150,370
Fri Nov 22 20:48:11 2024,887,635,58,149,395
Fri Nov 22 20:48:11 2024,887,619,68,146,399
Fri Nov 22 20:48:11 2024,888,613,63,146,408
Fri Nov 22 20:48:11 2024,888,600,66,161,400
Fri Nov 22 20:48:11 2024,889,593,63,135,415
Fri Nov 22 20:48:11 2024,890,592,65,131,403
Fri Nov 22 20:48:11 2024,916,572,56,151,437
Fri Nov 22 20:48:11 2024,919,568,62,153,452
Fri Nov 22 20:48:11 2024,921,563,65,167,457
Fri Nov 22 20:48:11 2024,945,557,66,168,455
Fri Nov 22 20:48:11 2024,947,554,68,192,466
Fri Nov 22 20:48:11 2024,948,558,65,166,473
Fri Nov 22 20:48:11 2024,976,567,63,168,477
Fri Nov 22 20:48:11 2024,977,565,56,168,492
Fri Nov 22 20:48:11 2024,977,556,60,170,480
Fri Nov 22 20:48:12 2024,7,544,64,166,489
Fri Nov 22 20:48:12 2024,8,563,59,169,491
Fri Nov 22 20:48:12 2024,8,560,63,172,492
Fri Nov 22 20:48:12 2024,36,555,64,183,528
Fri Nov 22 20:48:12 2024,36,550,70,174,523
Fri Nov 22 20:48:12 2024,37,554,67,168,519
Fri Nov 22 20:48:12 2024,39,569,67,183,540
Fri Nov 22 20:48:12 2024,39,606,68,184,540
Fri Nov 22 20:48:12 2024,67,610,59,179,544
Fri Nov 22 20:48:12 2024,68,609,64,182,551
Fri Nov 22 20:48:12 2024,68,620,70,180,574
Fri Nov 22 20:48:12 2024,97,647,68,176,561
Fri Nov 22 20:48:12 2024,97,657,73,168,567
Fri Nov 22 20:48:12 2024,98,651,68,168,552
Fri Nov 22 20:48:12 2024,98,635,65,166,540
Fri Nov 22 20:48:12 2024,98,620,63,158,538
Fri Nov 22 20:48:12 2024,99,648,64,169,529
Fri Nov 22 20:48:12 2024,99,625,64,165,499
Fri Nov 22 20:48:12 2024,99,624,67,169,511
Fri Nov 22 20:48:12 2024,100,612,67,161,519
Fri Nov 22 20:48:12 2024,100,602,67,163,515
Fri Nov 22 20:48:12 2024,125,600,64,171,522
Fri Nov 22 20:48:12 2024,126,601,63,179,513
Fri Nov 22 20:48:12 2024,127,594,68,181,501
Fri Nov 22 20:48:12 2024,128,601,64,186,529
Fri Nov 22 20:48:12 2024,129,622,70,176,537
Fri Nov 22 20:48:12 2024,129,604,58,171,524
Fri Nov 22 20:48:12 2024,157,615,68,179,511
Fri Nov 22 20:48:12 2024,157,612,69,173,505
Fri Nov 22 20:48:12 2024,157,620,69,164,493
Fri Nov 22 20:48:12 2024,186,617,65,163,503
Fri Nov 22 20:48:12 2024,187,606,68,153,496
Fri Nov 22 20:48:12 2024,187,611,60,159,486
Fri Nov 22 20:48:12 2024,187,602,56,152,494
Fri Nov 22 20:48:12 2024,188,593,65,148,486
Fri Nov 22 20:48:12 2024,189,600,65,157,508
Fri Nov 22 20:48:12 2024,190,597,61,157,498
Fri Nov 22 20:48:12 2024,190,581,67,157,506
Fri Nov 22 20:48:12 2024,190,593,67,164,512
Fri Nov 22 20:48:12 2024,216,597,58,155,515
Fri Nov 22 20:48:12 2024,216,582,65,162,511
Fri Nov 22 20:48:12 2024,217,607,58,168,507
Fri Nov 22 20:48:12 2024,244,612,71,156,507
Fri Nov 22 20:48:12 2024,246,606,71,162,509
Fri Nov 22 20:48:12 2024,247,595,60,170,521
Fri Nov 22 20:48:12 2024,306,615,63,167,534
Fri Nov 22 20:48:12 2024,306,614,68,168,525
Fri Nov 22 20:48:12 2024,307,612,65,174,533
Fri Nov 22 20:48:12 2024,336,623,67,175,535
Fri Nov 22 20:48:12 2024,336,626,71,176,548
Fri Nov 22 20:48:12 2024,336,622,67,173,515
Fri Nov 22 20:48:12 2024,366,611,67,160,512
Fri Nov 22 20:48:12 2024,366,603,67,153,495
Fri Nov 22 20:48:12 2024,367,605,67,160,488
Fri Nov 22 20:48:12 2024,396,602,72,162,481
Fri Nov 22 20:48:12 2024,396,598,61,164,484
Fri Nov 22 20:48:12 2024,398,599,57,164,472
Fri Nov 22 20:48:12 2024,426,592,63,165,449
Fri Nov 22 20:48:12 2024,426,599,64,137,457
Fri Nov 22 20:48:12 2024,427,601,66,135,459
Fri Nov 22 20:48:12 2024,456,621,67,140,476
Fri Nov 22 20:48:12 2024,456,650,66,149,501
Fri Nov 22 20:48:12 2024,456,659,66,161,496
Fri Nov 22 20:48:12 2024,486,660,69,163,493
Fri Nov 22 20:48:12 2024,487,669,63,149,519
Fri Nov 22 20:48:12 2024,487,684,63,156,519
Fri Nov 22 20:48:12 2024,516,681,64,152,514
Fri Nov 22 20:48:12 2024,517,674,66,170,530
Fri Nov 22 20:48:12 2024,517,682,67,163,528
Fri Nov 22 20:48:12 2024,520,683,55,175,525
Fri Nov 22 20:48:12 2024,520,677,62,179,530
Fri Nov 22 20:48:12 2024,521,678,64,182,532
Fri Nov 22 20:48:12 2024,521,675,68,176,530
Fri Nov 22 20:48:12 2024,521,678,64,181,546
Fri Nov 22 20:48:12 2024,521,663,63,178,556
Fri Nov 22 20:48:12 2024,521,662,62,198,558
Fri Nov 22 20:48:12 2024,548,666,65,190,555
Fri Nov 22 20:48:12 2024,549,657,67,187,560
Fri Nov 22 20:48:12 2024,549,664,71,191,562
Fri Nov 22 20:48:12 2024,550,651,63,189,559
Fri Nov 22 20:48:12 2024,550,657,64,190,564
Fri Nov 22 20:48:12 2024,550,657,59,193,557
Fri Nov 22 20:48:12 2024,577,648,67,212,555
Fri Nov 22 20:48:12 2024,577,684,62,197,564
Fri Nov 22 20:48:12 2024,578,669,69,202,576
Fri Nov 22 20:48:12 2024,605,677,68,201,569
Fri Nov 22 20:48:12 2024,606,671,74,203,555
Fri Nov 22 20:48:12 2024,606,681,71,196,554
Fri Nov 22 20:48:12 2024,635,709,72,198,563
Fri Nov 22 20:48:12 2024,636,701,76,179,578
Fri Nov 22 20:48:12 2024,637,697,72,175,573
Fri Nov 22 20:48:12 2024,637,690,75,179,559
Fri Nov 22 20:48:12 2024,637,680,67,171,552
Fri Nov 22 20:48:12 2024,638,679,67,176,537
Fri Nov 22 20:48:12 2024,638,678,74,165,537
Fri Nov 22 20:48:12 2024,639,686,70,174,543
Fri Nov 22 20:48:12 2024,640,692,62,175,549
Fri Nov 22 20:48:12 2024,641,690,71,163,540
Fri Nov 22 20:48:12 2024,666,679,68,159,473
Fri Nov 22 20:48:12 2024,666,682,64,153,473
Fri Nov 22 20:48:12 2024,666,674,68,166,466
Fri Nov 22 20:48:12 2024,696,685,69,157,515
Fri Nov 22 20:48:12 2024,696,678,68,149,476
Fri Nov 22 20:48:12 2024,697,670,59,157,482
Fri Nov 22 20:48:12 2024,697,674,68,148,502
Fri Nov 22 20:48:12 2024,697,690,66,146,510
Fri Nov 22 20:48:12 2024,698,675,70,136,519
Fri Nov 22 20:48:12 2024,699,660,72,139,528
Fri Nov 22 20:48:12 2024,699,651,72,139,532
Fri Nov 22 20:48:12 2024,700,636,67,160,526
Fri Nov 22 20:48:12 2024,701,656,71,159,500
Fri Nov 22 20:48:12 2024,726,666,59,155,474
Fri Nov 22 20:48:12 2024,726,661,59,153,452
Fri Nov 22 20:48:12 2024,727,639,68,171,455
Fri Nov 22 20:48:12 2024,756,659,68,163,449
Fri Nov 22 20:48:12 2024,756,660,67,168,431
Fri Nov 22 20:48:12 2024,757,681,68,161,417
Fri Nov 22 20:48:12 2024,785,678,59,169,416
Fri Nov 22 20:48:12 2024,786,684,72,167,434
Fri Nov 22 20:48:12 2024,787,674,60,172,457
Fri Nov 22 20:48:12 2024,787,691,65,168,470
Fri Nov 22 20:48:12 2024,788,691,68,170,464
Fri Nov 22 20:48:12 2024,788,691,72,161,465
Fri Nov 22 20:48:12 2024,788,702,64,194,480
Fri Nov 22 20:48:12 2024,788,705,65,164,488
Fri Nov 22 20:48:12 2024,789,693,69,160,494
Fri Nov 22 20:48:12 2024,789,710,69,153,490
Fri Nov 22 20:48:12 2024,816,709,63,154,501
Fri Nov 22 20:48:12 2024,816,688,67,157,499
Fri Nov 22 20:48:12 2024,816,695,63,158,498
Fri Nov 22 20:48:12 2024,846,691,65,151,503
Fri Nov 22 20:48:12 2024,846,679,67,154,507
Fri Nov 22 20:48:12 2024,846,689,64,160,518
Fri Nov 22 20:48:12 2024,847,678,68,169,507
Fri Nov 22 20:48:12 2024,847,679,62,166,506
Fri Nov 22 20:48:12 2024,847,671,70,156,512
Fri Nov 22 20:48:12 2024,848,656,67,153,511
Fri Nov 22 20:48:12 2024,849,663,71,147,506
Fri Nov 22 20:48:12 2024,850,652,61,152,490
Fri Nov 22 20:48:12 2024,851,640,69,153,501
Fri Nov 22 20:48:12 2024,876,637,65,156,497
Fri Nov 22 20:48:12 2024,877,619,67,142,493
Fri Nov 22 20:48:12 2024,877,614,65,151,466
Fri Nov 22 20:48:12 2024,877,623,68,144,435
Fri Nov 22 20:48:12 2024,878,612,63,132,410
Fri Nov 22 20:48:12 2024,906,606,71,134,413
Fri Nov 22 20:48:12 2024,906,601,66,138,424
Fri Nov 22 20:48:12 2024,906,591,70,137,422
Fri Nov 22 20:48:12 2024,936,594,65,141,421
Fri Nov 22 20:48:12 2024,937,597,70,138,451
Fri Nov 22 20:48:12 2024,937,613,63,145,444
Fri Nov 22 20:48:12 2024,966,617,65,143,452
Fri Nov 22 20:48:12 2024,966,622,72,143,459
